Juanda,Perak1,Perak2
235.9,218.3,272.9
401.1,271.8,259.7
404.1,295.8,331.8
283.9,155,152.2
406.5,208.1,110.5
30.3,14.7,9.3
0,183.58,0
0,183.58,0
0,183.58,0
22.1,36.6,74.9
175.5,232.7,202.3
202.9,219.2,151.9
623.8,478.2,305.7
443.3,283.2,201.5
322.9,178,169.8
163.3,215.9,202.9
150.7,33.2,47.8
45.7,70.6,51.3
43.4,7.1,0.5
0,10.4,1.5
25.9,160.3,158.2
121.3,65.4,41.3
73.7,76.6,52.2
281.9,132.9,115.8
417.5,345.5,321.6
234.3,248.9,217.1
432,415.6,271.9
129.5,100.6,74.8
62.7,44.6,100.7
52.8,60.9,35.6
136.7,6.2,19.5
54.7,23.6,6.6
0,9.2,1.3
74.1,93.1,54.2
128.7,80.2,69.5
298.5,112.6,82.1
383.2,359.3,294.9
341.6,229.1,183.2
360.5,304.2,246.9
227.1,74.6,81.6
144.6,34.8,43
340.6,187.2,114.1
1.4,23.9,15.8
59.4,150.5,0
0,1.7,7.6
42.3,35.8,84.9
100.1,56,70.7
82.6,348.9,148.1
500,336.4,338.1
441.7,325,271.3
159.7,309.5,118.7
260.9,106.4,59.8
137.8,67.4,49.5
54.1,47.7,32.1
0,24.1,54.7
0,201.97,0
0,201.97,0
0,201.97,0
139.5,192.7,159.5
298.5,408.5,462.9
436.3,423.7,365.7
282.6,122.1,135.8
169.8,179.7,156
130.2,119.2,139.6
167.8,161.6,93.5
127.1,25.5,41.2
0,152.35,0
4.9,11.3,20.1
0,152.35,0
17.5,74.1,12
124.2,86.5,95.3
291.9,319.8,235.5
341.8,221.2,249.3
349.7,389.5,325.2
183.8,158.4,199.1
216.5,66.4,84.4
314.8,173.2,145
284.7,72.3,69.5
79,39.2,19.1
76.2,167.4,16.7
0,141.29,0.5
95.9,45,54.8
77.9,55,42.1
187.3,166.6,157.9
332.9,300,290.4
167.7,171.5,169.3
182.2,255.3,232.3
291.7,87,50.4
185.8,112,60.7
45,54,15
13.2,45,24.7
0,2,0
0.2,7,14.8
0,128.98,0
3.8,92,46.3
422.5,293,157.5
651.6,266,248.7
453.8,280,158.8
116.5,76,46.8
369.6,486.2,249.8
156.7,49,62.3
4.6,11,11
1,1,2.2
0,163.03,0
0,163.03,0
0,163.03,0
27.9,136.9,137.2
195.4,161.2,221.7
604.6,428,276.4
264.4,222,228.1
481.8,354,238.9
462.1,107,95.8
244.5,39,39
112,40,34
43,9,7
6,5,7
21,166.45,7.5
12,48,42.8
151,121,129.6
242,458,333.2
438,307,151
331,262,234.8
301,216,209.2
155,65,62.9
78,59,26.5
315,150,69.6
0,6,3.5
23,32.1,54.4
0,132.31,0
0,132.31,0
32,21,30.8
312,205,254.3
687.2,301,247.5
362,198,210.4
459,312,323.8
149,91,119
2,19,7.7
0,4,0
0,140.25,0
5,140.25,0
0,140.25,0
0,140.25,0
56,58,17.6
104,139,179.8
385,214.8,142.9
360,318.8,259.3
274,164.5,176.3
252,245.9,264.8
265,50.3,40.8
223,152,80.6
54,9,2.4
0,172.83,0
0,172.83,0
12,53,87.7
238,280,262.5
277.9,240,218.8
341.8,263,240.3
349.7,350,303.6
182.4,131,122.3
216.1,111,126.3
314.6,44,13.7
284.2,64,32.7
81.1,2,9.8
75.8,28,15.1
0,9,3.6
95.9,29,39.3
95.9,191,156.7
271.5,217,239
311.2,189.4,224.6
198,265,172.8
133,208,122.9
95,172,126.6
217,65,59.5
13,146,126.6
0,0.1,0
0,127.23,0
0,9,0
0,29,0
19,191,47.1
232,125,191.1
430.1,115.6,111.2
531.7,412.3,234
473,160,115.7
354,215,168.2
258,200,155
373,116,76.8
166,155,150.2
0,9,7.9
5,38,47.6
130,184,129.3
223,263,208.4
521,414,288.6
456,607.3,419.8
151.7,187.4,202.8
304.6,393.8,293.9
338.6,237.8,117.4
100.7,57.8,40.7
10,0.3,1.5
34.7,45.7,18.2
2,45.7,0
0,196.06,0
26.3,82.3,94.9
268.4,181.2,224.1
330.1,317.4,396.4
540.3,474,452
293.8,268.2,187.3
273.2,191.5,194.2
235.1,132.2,149.4
179.7,74.2,137.2
35.6,89.9,96.6
6.9,18.6,48.6
0,2.3,2.5
0,150.48,0
187.3,163.8,179.7
192.1,93.9,79.4
232.9,146.7,111
325.5,244.9,192.6
333,353.9,285.4
589,315.6,213.5
231.9,243.4,114.9
109.6,52.9,80.1
236.6,88.5,68.3
90.7,152.9,76.2
0,217.67,0
0,217.67,0
107.5,162.6,162.5
135.6,222.9,140.7
419.9,339.1,385
571.2,500.1,392.3
238.9,151.4,123
208.5,170.5,208.2
140.7,152.6,103
74.3,114.4,105.8
0.1,8.2,17.6
0.2,158.96,0
0,158.96,0
0,158.96,0
0,1.2,1.3
35.4,158.96,41.1
205.7,173.3,134.3
640.7,299.2,308.1
540.7,296.5,175.5
324.9,268.7,196
83.7,121.8,81.9
136.4,91.1,117
52.2,21.2,14.5
0,157.77,0
0,157.77,0
0,157.77,0
14,10.5,8.9
235.1,192.8,89.9
94.4,118.1,81.8
473.8,204.7,160
579.5,187.3,172.5
608.1,506.4,346.2
89.1,70.6,70.4
83.3,72,88.2
70.5,34.5,4.4
34.8,11.6,2.8
0,154.96,0
0,154.96,0
0,0.9,0
73.6,113.4,90.3
209.4,348.2,238.8
205.2,173.4,134.9
291.5,180.8,139.5
318.4,239,227.2
255.9,105.3,157.6
283.1,46,24.1
175.7,89.3,62.7
120.9,39.3,8.7
4.5,15.3,2.5
15.2,0.4,0
52.9,105.8,106.4
80.4,40.8,49.7
392.3,278.7,231.3
377.8,212.3,184
886,364.6,183.9
288.2,338,280.1
262.8,131.8,158.1
228.5,90.1,79.2
0,22.3,4.6
0,1.1,1.3
0,156.8,0
0,156.8,0
0,156.8,0
31.1,11,7.5
148,240,201.5
146.1,189.4,164.7
516.7,262.7,144.1
313.8,235.9,203.9
191.2,95.9,131.5
20.6,66,73.1
30.1,74.1,93.8
39.6,14.2,2.7
0,2.1,0
0,130.52,0
7.7,22.4,35.6
79.2,132.4,65.2
210,340.6,246.8
255.6,199.2,157.4
208.5,180.1,175.9
249.5,247,249
136.4,67.7,75.6
22.1,32.7,35
3.7,16.6,23.6
0,154.24,1.4
0,7,0
0,154.24,0
48.9,72.9,17.8
205.3,166.4,121.4
372.3,376.2,343.2
404.9,376.1,334.3
652.5,370.6,395.5
120.8,216.3,151.8
148.2,121.9,98
360.1,57.8,86.6
109.6,49.9,96
0.6,0.1,0
0,0.2,3.2
0,154.1,0
0,154.1,0
26.7,128.2,78.2
171.1,219.9,116
581.7,298,257.2
487.6,308.6,375.6
313.5,322.4,207.2
405.9,333.9,320.5
373.8,147.3,129.3
90.1,57.7,52.8
135.8,66.1,39.4
15.5,29.9,39.5
129.3,156.3,88.4
276.2,252,174.8
140.8,85.7,72.5
214.9,314.2,266.5
230.5,180.5,174.1
212.8,145.2,136.4
398.5,461.2,293.5
639,274.9,243.3
156.8,70,78.7
31.3,27.6,3.3
30.7,0.1,1.6
0,174.32,0
0,174.32,0
9.7,22.6,28
260.9,205.1,181
369.3,356,482.3
410.4,400.1,303.1
179.1,276,158.5
210.9,263.4,311.4
126.9,60.3,43.7
114,70.6,39
67.7,3.1,4.3
0,153.02,0
0,153.02,0
0,153.02,0
2.1,57.3,49.8
58,40,82.9
171,206.4,281.9
410.4,648.7,342.7
179.1,197.3,267.6
210.9,430.3,322.4
126.9,141.1,180.4
114,179.4,159.4
42.5,234.6,231.4
109.2,90.5,42.2
0.6,3,0
0.2,216.53,0
3.6,5.6,4.6
108,80.2,79.1
359.3,371.1,229.3
256.4,301.7,255.5
247.1,266,217.2
447.7,342,197.7
273,247.9,236.9
104.7,50.9,51
201.8,68.8,47.5
47.8,5.8,3
0,5.1,6
0,158.33,0
0,7.9,0.4
72.4,68.3,68.6
267.8,377.2,175.9
464.7,503.4,275.2
369.6,339.1,276.2
432.3,282.6,204.8
238.2,177.3,111.8
181.6,87.6,20.5
0,244.79,0
1.6,244.79,0
17.9,244.79,0
0,244.79,0
0,244.79,62.6
52.6,167.9,123.4
132.2,155.6,211.7
167.7,308.2,256.6
589.6,416.8,293.4
251.6,150.2,110.4
235.1,183.7,104.3
390.2,278.9,321
173.7,80.5,127.3
209.5,73.2,86.8
100.7,55.5,36.6
142.2,88.7,176.8
465.7,164.2,92.7
108.4,223.2,179.9
256,372.2,291
