"No","Date.Time","p..mbar.","T..degC.","Tpot..K.","Tdew..degC.","rh....","VPmax..mbar.","VPact..mbar.","VPdef..mbar.","sh..g.kg.","H2OC..mmol.mol.","rho..g.m..3.","wv..m.s.","max..wv..m.s.","wd..deg."
"1","01.01.2009 00:10:00",996.52,-8.02,265.4,-8.9,93.3,3.33,3.11,0.22,1.94,3.12,1307.75,1.03,1.75,152.3
"2","01.01.2009 00:20:00",996.57,-8.41,265.01,-9.28,93.4,3.23,3.02,0.21,1.89,3.03,1309.8,0.72,1.5,136.1
"3","01.01.2009 00:30:00",996.53,-8.51,264.91,-9.31,93.9,3.21,3.01,0.2,1.88,3.02,1310.24,0.19,0.63,171.6
"4","01.01.2009 00:40:00",996.51,-8.31,265.12,-9.07,94.2,3.26,3.07,0.19,1.92,3.08,1309.19,0.34,0.5,198
"5","01.01.2009 00:50:00",996.51,-8.27,265.15,-9.04,94.1,3.27,3.08,0.19,1.92,3.09,1309,0.32,0.63,214.3
"6","01.01.2009 01:00:00",996.5,-8.05,265.38,-8.78,94.4,3.33,3.14,0.19,1.96,3.15,1307.86,0.21,0.63,192.7
"7","01.01.2009 01:10:00",996.5,-7.62,265.81,-8.3,94.8,3.44,3.26,0.18,2.04,3.27,1305.68,0.18,0.63,166.5
"8","01.01.2009 01:20:00",996.5,-7.62,265.81,-8.36,94.4,3.44,3.25,0.19,2.03,3.26,1305.69,0.19,0.5,118.6
"9","01.01.2009 01:30:00",996.5,-7.91,265.52,-8.73,93.8,3.36,3.15,0.21,1.97,3.16,1307.17,0.28,0.75,188.5
"10","01.01.2009 01:40:00",996.53,-8.43,264.99,-9.34,93.1,3.23,3,0.22,1.88,3.02,1309.85,0.59,0.88,185
"11","01.01.2009 01:50:00",996.62,-8.76,264.66,-9.66,93.1,3.14,2.93,0.22,1.83,2.94,1311.64,0.45,0.88,183.2
"12","01.01.2009 02:00:00",996.62,-8.88,264.54,-9.77,93.2,3.12,2.9,0.21,1.81,2.91,1312.25,0.25,0.63,190.3
"13","01.01.2009 02:10:00",996.63,-8.85,264.57,-9.7,93.5,3.12,2.92,0.2,1.82,2.93,1312.11,0.16,0.5,158.3
"14","01.01.2009 02:20:00",996.74,-8.83,264.58,-9.68,93.5,3.13,2.92,0.2,1.83,2.93,1312.15,0.36,0.63,184.8
"15","01.01.2009 02:30:00",996.81,-8.66,264.74,-9.46,93.9,3.17,2.98,0.19,1.86,2.99,1311.37,0.33,0.75,155.9
"16","01.01.2009 02:40:00",996.81,-8.66,264.74,-9.5,93.6,3.17,2.97,0.2,1.85,2.98,1311.38,0.07,0.5,272.4
"17","01.01.2009 02:50:00",996.86,-8.7,264.7,-9.55,93.5,3.16,2.95,0.21,1.85,2.96,1311.64,0.32,0.63,219.2
"18","01.01.2009 03:00:00",996.84,-8.81,264.59,-9.66,93.5,3.13,2.93,0.2,1.83,2.94,1312.18,0.18,0.63,167.2
"19","01.01.2009 03:10:00",996.87,-8.84,264.56,-9.69,93.5,3.13,2.92,0.2,1.83,2.93,1312.37,0.07,0.25,129.3
"20","01.01.2009 03:20:00",996.97,-8.94,264.45,-9.82,93.3,3.1,2.89,0.21,1.81,2.9,1313.01,0.1,0.63,115.3
"21","01.01.2009 03:30:00",997.08,-8.94,264.44,-9.8,93.4,3.1,2.9,0.2,1.81,2.9,1313.15,0.3,0.75,149.3
"22","01.01.2009 03:40:00",997.1,-8.86,264.52,-9.76,93.1,3.12,2.9,0.22,1.81,2.91,1312.78,0.29,0.75,149.7
"23","01.01.2009 03:50:00",997.06,-8.99,264.39,-9.99,92.4,3.09,2.85,0.23,1.78,2.86,1313.39,0.12,0.63,231.7
"24","01.01.2009 04:00:00",996.99,-9.05,264.34,-10.02,92.6,3.07,2.85,0.23,1.78,2.85,1313.61,0.1,0.38,240
"25","01.01.2009 04:10:00",997.05,-9.23,264.15,-10.25,92.2,3.03,2.79,0.24,1.74,2.8,1314.62,0.1,0.38,203.9
"26","01.01.2009 04:20:00",997.11,-9.49,263.89,-10.54,92,2.97,2.73,0.24,1.71,2.74,1316.02,0.34,0.75,159.7
"27","01.01.2009 04:30:00",997.19,-9.5,263.87,-10.51,92.3,2.97,2.74,0.23,1.71,2.75,1316.16,0.43,0.88,66.16
"28","01.01.2009 04:40:00",997.24,-9.35,264.02,-10.29,92.8,3,2.79,0.22,1.74,2.79,1315.47,0.4,0.88,105
"29","01.01.2009 04:50:00",997.37,-9.47,263.89,-10.46,92.4,2.97,2.75,0.23,1.72,2.75,1316.25,0.37,0.75,125.8
"30","01.01.2009 05:00:00",997.46,-9.63,263.72,-10.65,92.2,2.94,2.71,0.23,1.69,2.71,1317.19,0.4,0.88,157
"31","01.01.2009 05:10:00",997.43,-9.67,263.68,-10.63,92.6,2.93,2.71,0.22,1.69,2.72,1317.35,0.36,0.75,132.5
"32","01.01.2009 05:20:00",997.42,-9.68,263.67,-10.73,92,2.92,2.69,0.23,1.68,2.7,1317.4,0.09,0.5,143.2
"33","01.01.2009 05:30:00",997.53,-9.9,263.45,-10.98,91.7,2.87,2.64,0.24,1.64,2.64,1318.68,0.29,1,72.5
"34","01.01.2009 05:40:00",997.6,-9.91,263.43,-10.9,92.4,2.87,2.65,0.22,1.66,2.66,1318.81,0.5,1,60.72
"35","01.01.2009 05:50:00",997.62,-9.51,263.83,-10.37,93.4,2.96,2.77,0.2,1.73,2.77,1316.77,0.31,0.75,147.4
"36","01.01.2009 06:00:00",997.71,-9.67,263.66,-10.62,92.7,2.93,2.71,0.21,1.69,2.72,1317.71,0.05,0.5,146
"37","01.01.2009 06:10:00",997.81,-9.59,263.74,-10.47,93.2,2.95,2.74,0.2,1.71,2.75,1317.44,0.24,0.75,161.6
"38","01.01.2009 06:20:00",997.86,-9.15,264.17,-10.02,93.3,3.05,2.85,0.2,1.78,2.85,1315.26,0.18,0.5,125.7
"39","01.01.2009 06:30:00",998,-8.91,264.4,-9.89,92.5,3.11,2.87,0.23,1.79,2.88,1314.23,0.45,0.88,67.11
"40","01.01.2009 06:40:00",998.14,-9.04,264.26,-10.11,91.9,3.08,2.83,0.25,1.76,2.83,1315.09,1.48,2.75,14
