"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"28/08/2024","2.546,50","2.560,50","2.561,10","2.546,50","","-0,25%"
"27/08/2024","2.552,90","2.553,80","2.561,40","2.538,50","","-0,09%"
"26/08/2024","2.555,20","2.545,10","2.563,20","2.544,00","127,49K","0,35%"
"23/08/2024","2.546,30","2.521,10","2.554,50","2.519,80","164,61K","1,18%"
"22/08/2024","2.516,70","2.549,90","2.551,40","2.506,40","177,37K","-1,21%"
"21/08/2024","2.547,50","2.552,20","2.558,00","2.528,20","148,89K","-0,12%"
"20/08/2024","2.550,60","2.542,40","2.570,40","2.535,10","191,20K","0,37%"
"19/08/2024","2.541,30","2.549,70","2.549,90","2.523,70","155,99K","0,14%"
"16/08/2024","2.537,80","2.494,40","2.548,30","2.488,20","223,93K","1,82%"
"15/08/2024","2.492,40","2.486,20","2.508,00","2.469,20","169,32K","0,51%"
"14/08/2024","2.479,70","2.506,30","2.519,70","2.476,20","187,38K","-1,12%"
"13/08/2024","2.507,80","2.512,60","2.517,30","2.498,20","155,08K","0,15%"
"12/08/2024","2.504,00","2.470,10","2.513,40","2.462,70","171,20K","1,24%"
"09/08/2024","2.473,40","2.467,30","2.476,50","2.456,10","152,17K","0,41%"
"08/08/2024","2.463,30","2.422,80","2.467,90","2.420,20","178,51K","1,27%"
"07/08/2024","2.432,40","2.432,60","2.447,30","2.418,80","166,08K","0,03%"
"06/08/2024","2.431,60","2.451,70","2.459,50","2.421,80","186,11K","-0,52%"
"05/08/2024","2.444,40","2.490,30","2.500,80","2.403,80","352,23K","-1,03%"
"02/08/2024","2.469,80","2.490,80","2.522,50","2.453,10","309,94K","-0,44%"
"01/08/2024","2.480,80","2.493,40","2.506,60","2.474,00","219,83K","0,32%"
"31/07/2024","2.473,00","2.455,60","2.496,60","2.449,20","176,27K","0,86%"
"30/07/2024","2.451,90","2.429,00","2.458,30","2.421,50","172,97K","2,09%"
"29/07/2024","2.401,80","2.410,10","2.425,30","2.391,60","26,11K","-0,11%"
